Date,CI Long Risk,CI Long Other,CI Long Total,CI Long Risk Change,CI Long Other Change,CI Long Total Change,CI Long Risk POI,CI Long Other POI,CI Long Total POI,CI Short Risk,CI Short Other,CI Short Total,CI Short Risk Change,CI Short Other Change,CI Short Total Change,CI Short Risk POI,CI Short Other POI,CI Short Total POI,IF Long Risk,IF Long Other,IF Long Total,IF Long Risk Change,IF Long Other Change,IF Long Total Change,IF Long Risk POI,IF Long Other POI,IF Long Total POI,IF Short Risk,IF Short Other,IF Short Total,IF Short Risk Change,IF Short Other Change,IF Short Total Change,IF Short Risk POI,IF Short Other POI,IF Short Total POI,OFI Long Risk,OFI Long Other,OFI Long Total,OFI Long Risk Change,OFI Long Other Change,OFI Long Total Change,OFI Long Risk POI,OFI Long Other POI,OFI Long Total POI,OFI Short Risk,OFI Short Other,OFI Short Total,OFI Short Risk Change,OFI Short Other Change,OFI Short Total Change,OFI Short Risk POI,OFI Short Other POI,OFI Short Total POI,CU Long Risk,CU Long Other,CU Long Total,CU Long Risk Change,CU Long Other Change,CU Long Total Change,CU Long Risk POI,CU Long Other POI,CU Long Total POI,CU Short Risk,CU Short Other,CU Short Total,CU Short Risk Change,CU Short Other Change,CU Short Total Change,CU Short Risk POI,CU Short Other POI,CU Short Total POI
2021-11-19,14832,151544.6,166376.6,-627,-4900.76,-5527.76,0.0434,0.4433,0.4867,7048.78,147714.45,154763.23,-1622.03,-3868.42,-5490.45,0.0207,0.4343,0.455,6,66769.73,66775.73,-102,1882.47,1780.47,0,0.1953,0.1953,0,16285.17,16285.17,0,1533.67,1533.67,0,0.0479,0.0479,1330.91,43021.15,44352.06,-155.76,-1567.54,-1723.3,0.0039,0.1258,0.1297,11246,16618.74,27864.74,102,-405.16,-303.16,0.0331,0.0489,0.082,43057.38,21292.39,64349.77,-5164.54,-473.17,-5637.71,0.126,0.0623,0.1883,118070.96,23114.93,141185.89,-6113.17,-630.89,-6744.06,0.3472,0.068,0.4152
2021-11-26,15408,150807.59,166215.59,576,-554.01,21.99,0.0447,0.438,0.4827,7898.93,149346.7,157245.63,850.15,1632.25,2482.4,0.0231,0.4361,0.4592,1,66325.21,66326.21,-5,-442.52,-447.52,0,0.1926,0.1926,0,14579.92,14579.92,0,-1705.25,-1705.25,0,0.0426,0.0426,1569.97,42473.03,44043,239.06,-548.12,-309.06,0.0046,0.1234,0.128,11628,16651.64,28279.64,382,32.9,414.9,0.034,0.0486,0.0826,46234.69,21502.06,67736.75,3177.31,207.67,3384.98,0.1343,0.0624,0.1967,119484.72,22880.76,142365.48,1413.76,-236.17,1177.59,0.3489,0.0668,0.4157
2021-12-03,14874,145517.1,160391.1,-534,-5290.49,-5824.49,0.0437,0.4275,0.4712,8262.51,144735.56,152998.07,363.58,-4611.14,-4247.56,0.0245,0.4296,0.4541,1,65813.57,65814.57,0,-511.64,-511.64,0,0.1934,0.1934,0,13938.37,13938.37,0,-641.55,-641.55,0,0.0414,0.0414,1429.66,40104.11,41533.77,-140.31,-2368.92,-2509.23,0.0042,0.1178,0.122,11341,15443.56,26784.56,-287,-1208.08,-1495.08,0.0337,0.0458,0.0795,51761.99,20861.36,72623.35,5527.3,-640.7,4886.6,0.1521,0.0613,0.2134,121005.48,22184.35,143189.83,1520.76,-696.41,824.35,0.3592,0.0658,0.425
2021-12-10,14801,144744.22,159545.22,-73,-771.88,-844.88,0.0432,0.4225,0.4657,9084.21,145419.01,154503.22,821.7,684.45,1506.15,0.0267,0.4273,0.454,9,65301.38,65310.38,8,-512.19,-504.19,0,0.1906,0.1906,2,14323.25,14325.25,2,384.88,386.88,0,0.0421,0.0421,1479.77,39079.63,40559.4,50.11,-1024.48,-974.37,0.0043,0.1141,0.1184,11135,14074.43,25209.43,-206,-1369.13,-1575.13,0.0327,0.0414,0.0741,55186.69,21954.42,77141.11,3425.7,1093.06,4518.76,0.1611,0.0641,0.2252,122907.78,23406.01,146313.79,1903.3,1221.66,3124.96,0.3611,0.0688,0.4299
2022-01-21,13835,153761.25,167596.25,-341,-678.98,-1019.98,0.0406,0.4513,0.4919,7325.96,165853.79,173179.75,-824.59,3035.86,2211.27,0.0219,0.4951,0.517,10,75797.9,75807.9,-1,4009.05,4008.05,0,0.2225,0.2225,2,13759.97,13761.97,0,967.74,967.74,0,0.0411,0.0411,1449.8,28370.26,29820.06,-538.84,-2238.64,-2777.48,0.0043,0.0833,0.0876,11509,6127,17636,-354,1053,699,0.0344,0.0183,0.0527,44754.56,22703.34,67457.9,-1902.64,-729.79,-2632.43,0.1314,0.0666,0.198,102884.55,27561.29,130445.84,-6716.93,507.07,-6209.86,0.3071,0.0823,0.3894
2022-01-28,14399,151029.56,165428.56,564,-2731.69,-2167.69,0.042,0.4408,0.4828,7740.12,164362.13,172102.25,414.16,-1491.66,-1077.5,0.0229,0.4864,0.5093,7,74291.6,74298.6,-3,-1506.3,-1509.3,0,0.2168,0.2168,2,14649.66,14651.66,0,889.69,889.69,0,0.0434,0.0434,1373.05,30028.05,31401.1,-76.75,1657.79,1581.04,0.004,0.0876,0.0916,12102,6621,18723,593,494,1087,0.0358,0.0196,0.0554,46535.24,24998.8,71534.04,1780.68,2295.46,4076.14,0.1358,0.073,0.2088,101896.29,30519.88,132416.17,-988.26,2958.59,1970.33,0.3016,0.0903,0.3919
2022-02-04,14418,148704.18,163122.18,19,-2329.38,-2310.38,0.0428,0.4416,0.4844,8139.48,161175.49,169314.97,399.36,-3187.64,-2788.28,0.0245,0.4861,0.5106,2,74557,74559,-5,265.4,260.4,0,0.2214,0.2214,2,16548.78,16550.78,0,1899.12,1899.12,0,0.0499,0.0499,1405.54,27849.98,29255.52,32.49,-2178.07,-2145.58,0.0042,0.0827,0.0869,11772,6410.98,18182.98,-330,-210.02,-540.02,0.0355,0.0193,0.0548,46249.74,23551.21,69800.95,-489.5,-1447.59,-1937.09,0.1373,0.0699,0.2072,98378.53,29151.67,127530.2,-3517.76,-1368.21,-4885.97,0.2967,0.0879,0.3846
2022-02-11,15936,151976.17,167912.17,1518,3087.99,4605.99,0.0472,0.4498,0.497,8901.79,165146.02,174047.81,762.31,3786.53,4548.84,0.0267,0.4945,0.5212,10,74772.71,74782.71,8,120.71,128.71,0,0.2213,0.2213,2,15729.82,15731.82,0,-818.96,-818.96,0,0.0471,0.0471,1279.38,27213.98,28493.36,-126.16,-636,-762.16,0.0038,0.0805,0.0843,11975,7465.98,19440.98,203,1055,1258,0.0359,0.0224,0.0583,46240.7,20448.35,66689.05,-9.04,-3102.86,-3111.9,0.1369,0.0605,0.1974,98991.65,25750.63,124742.28,613.12,-3401.04,-2787.92,0.2964,0.0771,0.3735
2022-02-18,13945,151544.12,165489.12,-1991,-382.05,-2373.05,0.0424,0.4612,0.5036,8055.33,160910.7,168966.03,-846.46,-4185.32,-5031.78,0.0249,0.4965,0.5214,3,73166.94,73169.94,-7,-1605.77,-1612.77,0,0.2227,0.2227,0,16838.74,16838.74,-2,1108.92,1106.92,0,0.052,0.052,1393.05,26685.98,28079.03,113.67,-528,-414.33,0.0042,0.0812,0.0854,11574,7874.98,19448.98,-401,409,8,0.0357,0.0243,0.06,43326.69,18528.9,61855.59,-2914.01,-1919.45,-4833.46,0.1319,0.0564,0.1883,94248.01,24604.36,118852.37,-4743.64,-1146.27,-5889.91,0.2908,0.0759,0.3667
2022-02-25,13879,151791.61,165670.61,-66,247.49,181.49,0.0421,0.4602,0.5023,8343.9,161117.33,169461.23,288.57,206.63,495.2,0.0256,0.4948,0.5204,3,71982.8,71985.8,0,-1184.14,-1184.14,0,0.2182,0.2182,0,17424.58,17424.58,0,585.84,585.84,0,0.0535,0.0535,1242.56,26182.98,27425.54,-150.49,-503,-653.49,0.0038,0.0794,0.0832,11321,8053.98,19374.98,-253,179,-74,0.0348,0.0247,0.0595,46308.6,18483.54,64792.14,2981.91,-45.36,2936.55,0.1404,0.056,0.1964,94702.11,24637.57,119339.68,454.1,33.21,487.31,0.2909,0.0757,0.3666
