Date,CI Long Risk,CI Long Other,CI Long Total,CI Long Risk Change,CI Long Other Change,CI Long Total Change,CI Long Risk POI,CI Long Other POI,CI Long Total POI,CI Short Risk,CI Short Other,CI Short Total,CI Short Risk Change,CI Short Other Change,CI Short Total Change,CI Short Risk POI,CI Short Other POI,CI Short Total POI,IF Long Risk,IF Long Other,IF Long Total,IF Long Risk Change,IF Long Other Change,IF Long Total Change,IF Long Risk POI,IF Long Other POI,IF Long Total POI,IF Short Risk,IF Short Other,IF Short Total,IF Short Risk Change,IF Short Other Change,IF Short Total Change,IF Short Risk POI,IF Short Other POI,IF Short Total POI,OFI Long Risk,OFI Long Other,OFI Long Total,OFI Long Risk Change,OFI Long Other Change,OFI Long Total Change,OFI Long Risk POI,OFI Long Other POI,OFI Long Total POI,OFI Short Risk,OFI Short Other,OFI Short Total,OFI Short Risk Change,OFI Short Other Change,OFI Short Total Change,OFI Short Risk POI,OFI Short Other POI,OFI Short Total POI,CU Long Risk,CU Long Other,CU Long Total,CU Long Risk Change,CU Long Other Change,CU Long Total Change,CU Long Risk POI,CU Long Other POI,CU Long Total POI,CU Short Risk,CU Short Other,CU Short Total,CU Short Risk Change,CU Short Other Change,CU Short Total Change,CU Short Risk POI,CU Short Other POI,CU Short Total POI
2021-11-19,8255.83,191434.68,199690.51,-415.43,-3048.22,-3463.65,0.0206,0.4782,0.4988,9740.14,192420.75,202160.89,-1068.07,-2001.68,-3069.75,0.0247,0.4879,0.5126,1,41606.84,41607.84,-4,2037.3,2033.3,0,0.1039,0.1039,0,10191.54,10191.54,0,2444.09,2444.09,0,0.0258,0.0258,7101.16,46009.27,53110.43,-659.2,-3601.41,-4260.61,0.0177,0.1149,0.1326,4519.58,18139.81,22659.39,-224.69,-3073.01,-3297.7,0.0115,0.046,0.0575,78926.05,26970.42,105896.47,-4522.37,-4517.72,-9040.09,0.1972,0.0674,0.2646,126327.65,33085.15,159412.8,-6624.05,-4411.97,-11036.02,0.3203,0.0839,0.4042
2021-11-26,8720.77,196072.84,204793.61,464.94,4638.16,5103.1,0.0212,0.4766,0.4978,10722.51,198285.8,209008.31,982.37,5865.05,6847.42,0.0265,0.4894,0.5159,0,41932.8,41932.8,-1,325.96,324.96,0,0.1019,0.1019,3,11298.36,11301.36,3,1106.82,1109.82,0,0.0279,0.0279,7375.65,45407.66,52783.31,274.49,-601.61,-327.12,0.0179,0.1104,0.1283,4496.42,17969.3,22465.72,-23.16,-170.51,-193.67,0.0111,0.0444,0.0555,83465.85,28412.4,111878.25,4539.8,1421.98,5961.78,0.2029,0.0691,0.272,128030.81,34350.05,162380.86,1703.16,1244.9,2948.06,0.316,0.0848,0.4008
2021-12-03,8971.8,179122.48,188094.28,251.03,-16963.36,-16712.33,0.0231,0.4606,0.4837,9877.16,189702.24,199579.4,-865.35,-8576.56,-9441.91,0.0257,0.4932,0.5189,0,38449.41,38449.41,0,-3483.39,-3483.39,0,0.0989,0.0989,7,10288.41,10295.41,4,-1009.95,-1005.95,0,0.0267,0.0267,4981.25,42243.37,47224.62,-2394.4,-3164.29,-5558.69,0.0128,0.1086,0.1214,4515.85,15084.12,19599.97,19.43,-2885.18,-2865.75,0.0117,0.0392,0.0509,85450.55,29654.54,115105.09,1992.7,1242.14,3234.84,0.2197,0.0763,0.296,122667.16,32485.03,155152.19,-5375.65,-1865.02,-7240.67,0.3189,0.0845,0.4034
2021-12-10,9343.74,182022.78,191366.52,371.94,2900.3,3272.24,0.0236,0.46,0.4836,10575.44,190884.34,201459.78,698.28,1182.1,1880.38,0.027,0.4874,0.5144,2,37686.96,37688.96,2,-762.45,-760.45,0,0.0952,0.0952,0,8552.26,8552.26,-7,-1736.15,-1743.15,0,0.0218,0.0218,5158.27,41973.53,47131.8,177.02,-269.84,-92.82,0.013,0.1061,0.1191,4874,14559.62,19433.62,358.15,-524.5,-166.35,0.0124,0.0372,0.0496,88274.12,31215.22,119489.34,2823.57,1570.68,4394.25,0.2231,0.0789,0.302,127654.57,34556.71,162211.28,4987.41,2081.68,7069.09,0.3259,0.0882,0.4141
2022-01-21,7431.98,184706.08,192138.06,-3711.21,2992.08,-719.13,0.0199,0.4956,0.5155,11797.73,182065.69,193863.42,-3.56,-3469.66,-3473.22,0.0322,0.4965,0.5287,2,47719.77,47721.77,-12,4059.63,4047.63,0,0.128,0.128,0,12091.66,12091.66,0,1385.29,1385.29,0,0.033,0.033,3697.01,26141.05,29838.06,-1938.2,-1624.79,-3562.99,0.0099,0.0701,0.08,3803.17,6899.76,10702.93,-2051.86,339.95,-1711.91,0.0104,0.0188,0.0292,73456.22,29539.87,102996.09,-4994.37,-1317.89,-6312.26,0.1971,0.0793,0.2764,116672.29,33395.38,150067.67,-2816.98,21.38,-2795.6,0.3181,0.0911,0.4092
2022-01-28,7897.14,186668.31,194565.45,465.16,1962.23,2427.39,0.0207,0.4902,0.5109,11846.81,186068.17,197914.98,49.08,4002.48,4051.56,0.0316,0.497,0.5286,0,44258.51,44258.51,-2,-3461.26,-3463.26,0,0.1162,0.1162,13,15025.69,15038.69,13,2934.03,2947.03,0,0.0401,0.0401,3688.47,29023.73,32712.2,-8.54,2882.68,2874.14,0.0097,0.0762,0.0859,3796.73,7515.39,11312.12,-6.44,615.63,609.19,0.0101,0.0201,0.0302,80039.62,29230.44,109270.06,6586.4,-309.43,6276.97,0.2102,0.0768,0.287,115539.18,34582.9,150122.08,-1130.11,1187.52,57.41,0.3086,0.0924,0.401
2022-02-04,7571.13,186684.67,194255.8,-326.01,16.36,-309.65,0.0196,0.4844,0.504,10355.55,185518.24,195873.79,-1491.26,-551.93,-2043.19,0.0273,0.4897,0.517,0,49834.81,49834.81,0,5576.3,5576.3,0,0.1293,0.1293,4,15779.54,15783.54,-9,753.85,744.85,0,0.0417,0.0417,3531.58,26922.82,30454.4,-156.89,-2100.91,-2257.8,0.0092,0.0699,0.0791,4133.19,7730.6,11863.79,336.46,215.21,551.67,0.0109,0.0204,0.0313,78352.44,32534.37,110886.81,-1687.18,3303.93,1616.75,0.2033,0.0844,0.2877,116836.98,38453.25,155290.23,1254.8,3870.35,5125.15,0.3084,0.1015,0.4099
2022-02-11,8387.29,195776.7,204163.99,816.16,9092.03,9908.19,0.0208,0.4853,0.5061,10686.25,194631.19,205317.44,330.7,9112.95,9443.65,0.027,0.4918,0.5188,7,54336.72,54343.72,7,4501.91,4508.91,0,0.1347,0.1347,0,15315.42,15315.42,-4,-464.12,-468.12,0,0.0387,0.0387,4039.93,26850.57,30890.5,508.35,-72.25,436.1,0.01,0.0666,0.0766,4557,7954.91,12511.91,423.81,224.31,648.12,0.0115,0.0201,0.0316,80979.21,33034.06,114013.27,2626.77,499.69,3126.46,0.2007,0.0819,0.2826,123055.22,39589.35,162644.57,6218.24,1136.1,7354.34,0.3109,0.1,0.4109
2022-02-18,9029.09,191238.92,200268.01,641.8,-4537.78,-3895.98,0.023,0.4878,0.5108,10236.71,192549.32,202786.03,-449.54,-2081.87,-2531.41,0.0266,0.4998,0.5264,0,53795.75,53795.75,-7,-540.97,-547.97,0,0.1372,0.1372,0,15162.7,15162.7,0,-152.72,-152.72,0,0.0394,0.0394,4341.45,26431.47,30772.92,301.52,-419.1,-117.58,0.0111,0.0674,0.0785,4000,8334.54,12334.54,-557,379.63,-177.37,0.0104,0.0216,0.032,76737.6,30501.18,107238.78,-4241.61,-2532.88,-6774.49,0.1957,0.0778,0.2735,117642.31,37293.92,154936.23,-5412.91,-2295.43,-7708.34,0.3054,0.0968,0.4022
2022-02-25,9052.82,186542.37,195595.19,23.73,-4696.55,-4672.82,0.0235,0.4839,0.5074,11094.76,185947.73,197042.49,858.05,-6604.59,-5746.54,0.0294,0.4927,0.5221,0,51825.12,51825.12,0,-1970.63,-1970.63,0,0.1344,0.1344,8,15025.59,15033.59,8,-137.11,-129.11,0,0.0398,0.0398,4014.87,25736.67,29751.54,-326.58,-694.8,-1021.38,0.0104,0.0668,0.0772,3897,8297.52,12194.52,-103,-37.02,-140.02,0.0103,0.022,0.0323,76858.73,31493.03,108351.76,121.13,991.85,1112.98,0.1994,0.0817,0.2811,114994.7,38104.56,153099.26,-2647.61,810.64,-1836.97,0.3047,0.101,0.4057
